	artist_id	artist	n_songs_played
342	342	Dropkick Murphys	61
343	343	Drowning Pool	134
344	344	Duelo	221
345	345	Duncan Sheik	38
346	346	Duran Duran	51
347	347	Dwight Yoakam	20
348	348	E-40	40
349	349	Earth, Wind & Fire	192
350	350	Easton Corbin	498
351	351	Eddie Money	73
352	352	Eddie Rabbitt	45
353	353	Edward Maya	78
354	354	Edwin McCain	67
355	355	Eek-A-Mouse	26
356	356	Egypt Central	37
357	357	Ekolu	256
358	358	El Bebeto	70
359	359	El Chapo De Sinaloa	120
360	360	El Coyote Y Su Banda Tierra Santa	30
361	361	El Guero Y Su Banda Centenario	27
362	362	El Potro De Sinaloa	38
363	363	El Trono De Mexico	187
364	364	Eli Young Band	44
365	365	Eliseo Robles	29
366	366	Elliott Yamin	21
367	367	Elton John	319
368	368	Emerson Drive	45
369	369	Eminem	388
370	370	Enigma	28
371	371	Enrique Iglesias	953
372	372	Eric Benet	27
373	373	Eric Church	283
374	374	Eric Clapton	289
375	375	Eric Darius	25
376	376	Escape The Fate	42
377	377	Escolta De Guerra	37
378	378	Espinoza Paz	254
379	379	Euge Groove	82
380	380	Eurythmics	76
381	381	Eva	20
382	382	Evanescence	53
383	383	Eve 6	27
384	384	Everclear	37
385	385	Everlast	34
386	386	Everything But The Girl	30
387	387	Extreme	40
388	388	FFH	56
389	389	Fabolous	367
390	390	Faith Hill	156
391	391	Faith No More	93
392	392	Fall Out Boy	43
393	393	Fantasia	49
394	394	Far East Movement	754
395	395	Fattburger	28
396	396	Fee	54
397	397	Fences	26
398	398	Fergie	72
399	399	Fidel Rueda	147
400	400	Fiji	108
401	401	Filter	67
402	402	Fine Young Cannibals	20
403	403	Finger Eleven	194
404	404	Fistful Of Mercy	20
405	405	Fito Blanko	20
406	406	Fitz & The Tantrums	62
407	407	Five Finger Death Punch	337
408	408	Five For Fighting	116
409	409	Fleetwood Mac	266
410	410	Flo-Rida	356
411	411	Flogging Molly	40
412	412	Florence & The Machine	104
413	413	Foghat	42
414	414	Foo Fighters	657
415	415	Foreigner	175
416	416	Forever Jones	83
417	417	Foster The People	75
418	418	Four 80 East	24
419	419	Fourplay	136
420	420	Francesca Battistelli	284
421	421	Frankie Ballard	28
422	422	Franz Ferdinand	23
423	423	Fred Hammond	26
424	424	Free	29
425	425	Fuego	47
426	426	Fuel	95
427	427	Garth Brooks	273
428	428	Gary Allan	105
429	429	Gary Wright	27
430	430	Gato Barbieri	21
431	431	Gavin DeGraw	32
432	432	Gavin Rossdale	48
433	433	Gena	91
434	434	Genesis	69
435	435	George Benson	192
436	436	George Jones	27
437	437	George Michael	79
438	438	George Strait	493
439	439	George Thorogood & The Destroyers	105
440	440	Georgia Satellites	24
441	441	Gerardo Ortiz	140
442	442	German Montero	87
443	443	Gerry Rafferty	25
444	444	Gin Blossoms	60
445	445	Ginuwine	31
446	446	Gladys Knight & The Pips	26
447	447	Gloria Estefan	20
448	448	Gloria Gaynor	25
449	449	Gloria Trevi	27
450	450	Gnarls Barkley	40
451	451	Gocho	51
452	452	Godsmack	549
453	453	Golden Earring	55
454	454	Goo Goo Dolls	206
455	455	Gorilla Zoe	135
456	456	Grand Funk	21
457	457	Grand Funk Railroad	55
458	458	Great White	25
459	459	Green Day	733
460	460	Greg Adams	44
461	461	Gregg Karukas	43
462	462	Gregory Isaacs	111
463	463	Gretchen Wilson	43
464	464	Grover Washington, Jr.	63
465	465	Grupo 10-4	23
466	466	Grupo Bryndis	101
467	467	Grupo Canaveral De Pabon	22
468	468	Grupo Innovacion	33
469	469	Grupo Limite	24
470	470	Grupo Mojado	27
471	471	Grupo Montez De Durango	130
472	472	Grupo Puente	22
473	473	Grupo Voz De Mando	36
474	474	Gucci Mane	49
475	475	Guns N' Roses	646
476	476	Guster	38
477	477	Gwen Stefani	53
478	478	Gwyneth Paltrow	31
479	479	Gyptian	63
480	480	Hail The Villain	62
481	481	Hank Williams, Jr.	23
482	482	Harry Chapin	22
483	483	Harvey Danger	28
484	484	Hawk Nelson	60
485	485	Heart	140
486	486	Heather Williams	134
487	487	Heatwave	21
488	488	Heavy Shift	24
489	489	Hector Acosta 'El Torito'	24
490	490	Hellyeah	23
491	491	Herb Alpert	23
492	492	Herbie Hancock	28
493	493	Hezekiah Walker	56
494	494	Hinder	40
495	495	Hiroshima	25
496	496	Ho'okoa	581
497	497	Hollywood Undead	94
498	498	Hoobastank	68
499	499	Hootie & The Blowfish	25
500	500	Howard Jones	21
501	501	Howie Day	46
502	502	Huey Dunbar	21
503	503	Hyland	28
504	504	INXS	28
505	505	Incubus	208
506	506	Ingrid Michaelson	21
507	507	Inik	47
508	508	Inner Circle	45
509	509	Intocable	546
510	510	Irene Cara	27
511	511	Iron & Wine	32
512	512	Iron Maiden	59
513	513	Israel Houghton	66
514	514	Israel Kamakawiwo'ole	25
515	515	J Boog	604
516	516	J. Cole	52
517	517	J. Holiday	30
518	518	J. Lo	172
519	519	Ja Rule	25
520	520	Jaci Velasquez	21
521	521	Jack Johnson	44
522	522	Jackiem Joyner	116
523	523	Jackson Browne	78
524	524	Jadon Lavik	65
525	525	Jagged Edge	21
526	526	Jake Owen	56
527	527	James Blunt	53
528	528	James Fortune & Fiya	131
529	529	James Otto	105
530	530	James Taylor	51
531	531	James Wesley	137
532	532	Jamey Johnson	21
533	533	Jamie Foxx	315
534	534	Jane's Addiction	107
535	535	Janis Joplin	20
536	536	Jaron & The Long Road to Love	34
537	537	Jars Of Clay	58
538	538	Jason Aldean	1008
539	539	Jason Castro	28
540	540	Jason DeRulo	209
541	541	Jason Gray	250
542	542	Jason Mraz	158
543	543	Jay Sean	79
544	544	Jay Soto	23
545	545	Jay-Z	284
546	546	Jazmine Sullivan	85
547	547	Jeff Golub	22
548	548	Jeff Lorber	26
549	549	Jefferson Airplane	24
550	550	Jenni Rivera	155
551	551	Jennifer Hudson	100
552	552	Jennifer Lopez	44
553	553	Jeremih	882
554	554	Jeremy Camp	876
555	555	Jeremy Riddle	40
556	556	Jerrod Niemann	469
557	557	Jesse Cook	56
558	558	Jesse McCartney	37
559	559	Jessica Andrews	25
560	560	Jessie J	40
561	561	Jessy J	99
562	562	Jet	79
563	563	Jethro Tull	19
564	564	Jewel	33
565	565	Jim Jones	57
566	566	Jimmy Buffett	70
567	567	Jimmy Cliff	56
568	568	Jimmy Eat World	90
569	569	Jimmy Wayne	24
570	570	Jo Dee Messina	68
571	571	Joan Jett & The Blackhearts	63
572	572	Joan Sebastian	237
573	573	Joe	20
574	574	Joe McBride	23
575	575	Joe Nichols	256
576	576	Joe Sample	24
577	577	Joe Walsh	53
578	578	Joey Montana	42
579	579	John Brown	37
580	580	John Cafferty & The Beaver Brown Band	24
581	581	John Cougar	145
582	582	John Cougar Mellencamp	46
583	583	John Fogerty	27
584	584	John Legend & The Roots	75
585	585	John Lennon	55
586	586	John Mayer	457
587	587	John Mellencamp	68
588	588	John Michael Montgomery	34
589	589	John Travolta & Olivia Newton-John	24
590	590	John Waite	39
591	591	John Waller	65
592	592	Johnny Paycheck	25
593	593	Jonathan Butler	38
594	594	Jonathan Nelson	99
595	595	Jonathan Tyler And The Northern Lights	36
596	596	Jonny Diaz	102
597	597	Jordin Sparks	28
598	598	Jose Feliciano	34
599	599	Josh Gracin	39
600	600	Josh Kelley	161
601	601	Josh Thompson	143
602	602	Josh Turner	533
603	603	Josh Wilson	397
604	604	Journey	403
605	605	Juan Gabriel	38
606	606	Juan Luis Guerra	166
607	607	Juanes	152
608	608	Judas Priest	138
609	609	Julio Fierro	65
610	610	Julion Alvarez	154
611	611	Julion Alvarez Y Su Norteno Banda	28
612	612	Justin Bieber	53
613	613	Justin Moore	254
614	614	Justin Timberlake	126
615	615	Juvenile	36
616	616	K'La	25
617	617	K-Paz De La Sierra	48
618	618	K.C. & The Sunshine Band	30
619	619	KT Tunstall	117
620	620	Kaipo Kapua	55
621	621	Kansas	86
622	622	Kanye West	883
623	623	Kanye West & Jay-Z	134
624	624	Kardinal Offishall	38
625	625	Katchafire	335
626	626	Katrina & The Waves	42
627	627	Katy Perry	1367
628	628	Ke$ha	538
629	629	Keith Anderson	31
630	630	Keith Urban	1135
631	631	Keith Whitley	22
632	632	Kellie Pickler	26
633	633	Kelly Clarkson	299
634	634	Kelly Price	21
635	635	Kelly Rowland	89
636	636	Kem	23
637	637	Kendra	73
638	638	Kenny Chesney	1510
639	639	Kenny Chesney With The Wailers	32
640	640	Kenny G	176
641	641	Kenny Lattimore	20
642	642	Kenny Loggins	32
643	643	Kenny Wayne Shepherd Band	31
644	644	Keri Hilson	659
645	645	Kerrie Roberts	24
646	646	Kes The Band	20
647	647	Kesha	67
648	648	Kevin LeVar & One Sound	20
649	649	Keyshia Cole	109
650	650	Kid Cudi	41
651	651	Kid Rock	271
652	652	Kim Waters	39
653	653	Kim Wilde	31
654	654	Kings Of Leon	273
655	655	Kirk Franklin	95
656	656	Kiss	68
657	657	Koa'uka	44
658	658	Kool & The Gang	50
659	659	Kopek	26
660	660	Korn	216
661	661	Kris Allen	155
662	662	Kumbia All Starz	20
663	663	Kutless	608
664	664	Kyle Wolverton	25
665	665	LMFAO	84
666	666	La Apuesta	21
667	667	La Arrolladora Banda El Limon	339
668	668	La Factoria	29
669	669	La Guera Y La Morena De Horoscopos De Durango	26
670	670	La Leyenda	78
671	671	La Mafia	43
672	672	La Numero 1 Banda Jerez	21
673	673	La Original Banda El Limon	114
674	674	La Original Banda Limon	53
675	675	La Roux	43
676	676	La Sonora Dinamita	20
677	677	Lady Antebellum	903
678	678	Lady Gaga	587
679	679	Laga Savea	42
680	680	Larry Carlton	22
681	681	Larry Coryell	26
682	682	Larry Hernandez	183
683	683	Laura Story	182
684	684	LeAnn Rimes	47
685	685	Led Zeppelin	729
686	686	Lee Ann Womack	65
687	687	Lee Brice	163
688	688	Lee Ritenour	27
689	689	Leeland	59
690	690	Lenny Kravitz	67
691	691	Leona Lewis	100
692	692	Liberacion	41
693	693	Lifehouse	457
694	694	Lil Wayne	1298
695	695	Lil' Jon & The Eastside Boyz	110
696	696	Limp Bizkit	52
697	697	Lincoln Brewster	325
698	698	Linkin Park	823
699	699	Lionel Richie	43
700	700	Lisa Loeb & Nine Stories	23
701	701	Lisa Page Brooks	45
702	702	Lisa Stansfield	21
703	703	Lit	67
704	704	Little Big Town	162
705	705	Live	130
706	706	Living Colour	49
707	707	Lloyd	246
708	708	Lloyd Banks	108
709	709	LoCash Cowboys	51
710	710	Local H	66
711	711	Lonestar	219
712	712	Los Angeles Azules	67
713	713	Los Angeles De Charly	46
714	714	Los Baron De Apodaca	28
715	715	Los Bukis	21
716	716	Los Cuates De Sinaloa	21
717	717	Los Elegidos	26
718	718	Los Felinos	20
719	719	Los Herederos De Nuevo Leon	44
720	720	Los Horoscopos De Durango	34
721	721	Los Humildes	42
722	722	Los Huracanes Del Norte	30
723	723	Los Inquietos Del Norte	54
724	724	Los Invasores De Nuevo Leon	176
725	725	Los Lonely Boys	40
726	726	Los Pikadientes De Caborca	21
727	727	Los Plebeyos	23
728	728	Los Rieleros Del Norte	198
729	729	Los Temerarios	20
730	730	Los Tigres Del Norte	219
731	731	Los Tiranos Del Norte	21
732	732	Los Traileros Del Norte	59
733	733	Los Tucanes De Tijuana	59
734	734	Love And Theft	22
735	735	Loverboy	23
736	736	Ludacris	83
737	737	Ludacris & Shawnna	35
738	738	Luke Bryan	664
739	739	Luminate	63
740	740	Lupe Fiasco	338
741	741	Lupillo Rivera	34
742	742	Luther Vandross	83
743	743	Lynyrd Skynyrd	233
744	744	MERCY ME	44
745	745	Mac Power, Brian Littrell, Steven Curtis Chapman & Mark Hall	21
746	746	Madonna	201
747	747	Mana	65
748	748	Manali'i	35
749	749	Mandisa	74
750	750	Manfred Mann's Earth Band	38
751	751	Mann	226
752	752	Maoli	454
753	753	Marc Anthony	37
754	754	Marc Antoine	51
755	755	Marc Cohn	49
756	756	Marcy Playground	43
757	757	Mariah Carey	91
758	758	Mariano Barba	30
759	759	Marilyn Manson	101
760	760	Mario	81
761	761	Mario El Cahorro Delgado	34
762	762	Marisela	42
763	763	Mark Schultz	138
764	764	Mark Wills	46
765	765	Maroon 5	407
766	766	Marsha Ambrosius	97
767	767	Martin Solveig	21
768	768	Martina McBride	192
769	769	Marvin Gaye	192
770	770	Marvin Sapp	95
771	771	Mary J. Blige	23
772	772	Mary Mary	222
773	773	Mat Kearney	71
774	774	Matchbox Twenty	126
775	775	Matt Maher	317
776	776	Matt Nathanson	116
777	777	Matthew West	540
778	778	Maurette Brown Clark	21
779	779	Maxi Priest	36
780	780	Megadeth	65
781	781	Mel Mcdaniel	46
782	782	Melanie Fiona	48
783	783	Melissa Etheridge	73
784	784	Melody Gardot	35
785	785	Men At Work	26
786	786	MercyMe	1065
787	787	Meredith Andrews	84
788	788	Metallica	950
789	789	Micah G	125
790	790	Michael Buble	242
791	791	Michael Franti & Spearhead	94
792	792	Michael Jackson	163
793	793	Michael McDonald	88
794	794	Michael Salgado	22
795	795	Michael W. Smith	60
796	796	Middle Class Rut	159
797	797	Miguel	219
798	798	Mike Phillips	23
799	799	Mike Posner	316
800	800	Mikeschair	121
801	801	Miley Cyrus	64
802	802	Mindi Abair	66
803	803	Mindi Abrir	40
804	804	Mindless Behavior	94
805	805	Miranda Lambert	698
806	806	Mississippi Mass Choir	104
807	807	Modern English	69
808	808	Molly Hatchet	24
809	809	Monster Magnet	21
810	810	Montgomery Gentry	346
811	811	Motley Crue	331
812	812	Mountain	24
813	813	Mr. Big	20
814	814	Mr. Mister	31
815	815	Mudvayne	234
816	816	Mumford & Sons	268
817	817	Muse	198
818	818	Musical Youth	55
819	819	My Chemical Romance	117
820	820	My Darkest Days	169
821	821	Najee	44
822	822	Naked Eyes	46
823	823	Napoleon	21
824	824	Nat  King  Cole	33
825	825	Natalie Cole	33
826	826	Natalie Grant	201
827	827	Natalie Imbruglia	59
828	828	Natasha Bedingfield	128
829	829	Nate Najar And Melba Moore	25
830	830	Natural Vibrations	237
831	831	Nazareth	29
832	832	Ne-Yo	324
833	833	Needtobreathe	204
834	834	Nelly	649
835	835	Nelly Furtado	81
836	836	Neon Trees	343
837	837	New Boyz	296
838	838	New Radicals	20
839	839	Newsboys	407
840	840	Newworldson	72
841	841	Nichole Nordeman	87
842	842	Nick Colionne	21
843	843	Nickelback	276
844	844	Nicki Minaj	1693
845	845	Nicole C. Mullen	94
846	846	Night Ranger	24
847	847	Nils	97
848	848	Nine Inch Nails	140
849	849	Nirvana	660
850	850	Nite Flyte	21
851	851	No Doubt	113
852	852	Norah Jones	135
853	853	Norman Brown	99
854	854	Norman Greenbaum	36
855	855	Nota	37
856	856	O.A.R.	39
857	857	Oasis	45
858	858	Off With Their Heads	32
859	859	Oli Silk	42
860	860	One Groove	262
861	861	OneRepublic	186
862	862	OneRepublic & Timbaland	95
863	863	Ooklah The Moc	32
864	864	Orchestral Manoeuvres In The Dark	49
865	865	Orianthi	23
866	866	Orleans	36
867	867	Otis Redding	41
868	868	Outkast	76
869	869	Owl City	38
870	870	Ozzy Osbourne	529
871	871	P.O.D.	69
872	872	PATI	23
873	873	Palomo	112
874	874	Pantera	74
875	875	Papa Roach	308
876	876	Passion Worship Band	50
877	877	Pat Benatar	160
878	878	Patrice Rushen	22
879	879	Paty Cantu	29
880	880	Paul Baloche	24
881	881	Paul Brown	53
882	882	Paul Brown & Marc Antoine	43
883	883	Paul Hardcastle	58
884	884	Paul Jackson, Jr.	21
885	885	Paul McCartney	23
886	886	Paul McCartney & Wings	28
887	887	Paul Simon	57
888	888	Paul Taylor	80
889	889	Paul Young	26
890	890	Paula Abdul	21
891	891	Paula Cole	25
892	892	Pearl Jam	615
893	893	Pedro Fernandez	70
894	894	Pepe Aguilar	55
895	895	Pequenos Musical	49
896	896	Pesado	231
897	897	Peter Frampton	71
898	898	Peter Gabriel	90
899	899	Peter White	116
900	900	Peter, Bjorn & John	21
901	901	Phil Collins	186
902	902	Phil Vassar	21
903	903	Phil Wickham	43
904	904	Phillips Craig and Dean	31
905	905	Phillips, Craig & Dean	448
906	906	Phoenix	107
907	907	Pink	726
908	908	Pink Floyd	706
909	909	Pitbull	736
910	910	Plain White T's	223
911	911	Plan B	34
912	912	Player	40
913	913	Plies	33
914	914	Plumb	22
915	915	Pohaku	27
916	916	Poison	54
917	917	Pop Evil	57
918	918	Positive Motion	171
919	919	Powerman 5000	24
920	920	Praful	25
921	921	Primus	30
922	922	Prince	53
923	923	Prince & The Revolution	54
924	924	Prince Royce	229
925	925	Principez De La Musica Nortena	21
926	926	Puddle Of Mudd	175
927	927	Puff Daddy & The Family	36
928	928	Queen	378
929	929	Queens Of The Stone Age	38
930	930	Queensryche	23
931	931	Quiet Riot	83
932	932	R. Kelly	50
933	933	R.E.M.	131
934	934	REO Speedwagon	114
935	935	Radiohead	51
936	936	Rage Against The Machine	337
937	937	Ram Jam	19
938	938	Ramon Ayala Y Sus Bravos Del Norte	279
939	939	Ramsey Lewis	24
940	940	Randy Houser	81
941	941	Randy Montana	58
942	942	Randy Travis	44
943	943	Rascal Flatts	903
944	944	Ratt	61
945	945	Ray J	44
946	946	Ray Lamontagne & The Pariah Dogs	36
947	947	Ray Parker, Jr.	21
948	948	Reba	288
949	949	Reba McEntire	49
950	950	Red Line Chemistry	44
951	951	Red Rider	26
952	952	Remedy Drive	39
953	953	Restless Heart	22
954	954	Rev Theory	31
955	955	Revive	106
956	956	Reyes De Arranque	28
957	957	Richard Elliot	82
958	958	Richard Marx	29
959	959	Rick Braun	71
960	960	Rick Ross	499
961	961	Rick Springfield	57
962	962	Ricky Dillard & New G	27
963	963	Ricky Martin	163
964	964	Rigo Tovar Y Su Costa Azul	22
965	965	Rihanna	2046
966	966	Rise Against	407
967	967	Rob Thomas	204
968	968	Rob Zombie	112
969	969	Robbie Seay Band	35
970	970	Robert Palmer	24
971	971	Robert Plant	21
972	972	Roberto Pulido	24
973	973	Roberto Tapia	95
974	974	Robin Thicke	29
975	975	Rocko	23
976	976	Rod Stewart	102
977	977	Rodney Atkins	450
978	978	Ronnie Dunn	245
979	979	Ronny Jordan	24
980	980	Roxette	37
981	981	Roy Orbison	21
982	982	Rufus & Chaka Khan	35
